Obama se despede de gestão marcada pela representação das minorias	http://cbn.globoradio.globo.com/editorias/internacional/2017/01/14/OBAMA-SE-DESPEDE-APOS-OITO-ANOS-MARCADOS-PELA-REPRESENTACAO-DAS-MINORIAS.htm
Trump representa ameaça aos direitos humanos, diz ONG	http://cbn.globoradio.globo.com/editorias/internacional/2017/01/14/TRUMP-REPRESENTA-AMEACA-AOS-DIREITOS-HUMANOS-DIZ-HUMAN-RIGHTS-WATCH.htm
Guerra de promessas marca eleição na Câmara	http://cbn.globoradio.globo.com/editorias/politica/2017/01/14/DISPUTA-PELA-PRESIDENCIA-DA-CAMARA-PROVOCA-GUERRA-DE-PROMESSAS.htm
'Dizer não é fundamental'	http://cbn.globoradio.globo.com/comentaristas/mundo-corporativo/2017/01/14/HOJE-EM-DIA-E-FUNDAMENTAL-DIZER-NAO.htm
'Primeira tarefa da educação é ensinar a ver'	http://cbn.globoradio.globo.com/programas/caminhos-alternativos/2017/01/14/PRIMEIRA-TAREFA-DA-EDUCACAO-E-ENSINAR-A-VER-RUBEM-ALVES-OPINA-SOBRE-FORMAS-DE-ENSINO.htm
Leitura: bom exercício para a memória	http://cbn.globoradio.globo.com/programas/50-mais-cbn/2017/01/14/LEITURA-E-O-MELHOR-EXERCICIO-PARA-A-MEMORIA.htm
SP: ataque deixa dois mortos na Ceagesp	http://cbn.globoradio.globo.com/sao-paulo/2017/01/14/ATAQUE-DEIXA-DOIS-MORTOS-E-TRES-FERIDOS-NA-CEAGESP.htm
Justiça determina que concessionária assuma o Maracanã	http://cbn.globoradio.globo.com/editorias/esportes/2017/01/14/JUSTICA-DETERMINA-QUE-CONCESSIONARIA-REASSUMA-A-ADMINISTRACAO-DO-MARACANA.htm
Situação dos presídios será tema de nova reunião no DF	http://cbn.globoradio.globo.com/editorias/policia/2017/01/14/AUTORIDADES-DA-AREA-DE-JUSTICA-E-SEGURANCA-SE-REUNEM-COM-MINISTRO-NA-TERCA.htm
Tiroteio deixa dois mortos na Ceagesp	http://cbn.globoradio.globo.com/sao-paulo/2017/01/14/BRIGA-ENTRE-DUAS-FAMILIAS-PODE-TER-PROVOCADO-TIROTEIO-NA-CEAGESP.htm
Impostômetro chega aos R$ 100 bi	http://cbn.globoradio.globo.com/editorias/economia/2017/01/14/IMPOSTOMETRO-CHEGA-AOS-R-100-BILHOES.htm
RJ: policiais civis cruzam os braços por quatro horas	http://cbn.globoradio.globo.com/rio-de-janeiro/2017/01/14/POLICIAIS-CIVIS-CRUZAM-OS-BRACOS-POR-QUATRO-HORAS-NO-RIO.htm
